LEcon329_1:1	yellow	JJ(JJ)	yellow
LEcon329_1:2	and	CC(CC)	and
LEcon329_1:3	er	UH(UH)	er
LEcon329_1:4	_0	PA(PA)	
LEcon329_1:5	red	JJ(JJ)	red

LEcon329_2:1	those	DT(DT)	those
LEcon329_2:2	are	VBP(VBP)	be
LEcon329_2:3	the	DT(DT)	the
LEcon329_2:4	banners	NNS(NNS)	banner
LEcon329_2:5	of	IN(IN)	of
LEcon329_2:6	f_birkirkara	FW(FW)	
LEcon329_2:7	_0	PA(PA)	

LEcon329_3:1	aha	RE(RE)	aha

LEcon329_4:1	banners	NNS(NNS)	banner

LEcon329_5:1	yes	RE(RE)	yes

LEcon329_6:1	because	IN(IN)	because
LEcon329_6:2	they	PP(PP)	they
LEcon329_6:3	won	VVD(VVD)	win
LEcon329_6:4	the	DT(DT)	the
LEcon329_6:5	football	NN(NN)	football
LEcon329_6:6	league	NN(NN)	league
LEcon329_6:7	you	PP(PP)	you
LEcon329_6:8	see	VVP(VVP)	see
LEcon329_6:9	_0	PA(PA)	

LEcon329_7:1	aha	RE(RE)	aha

LEcon329_8:1	yes	RE(RE)	yes
LEcon329_8:2	last	JJ(JJ)	last
LEcon329_8:3	last	JJ(JJ)	last
LEcon329_8:4	saturday	NP(NP)	saturday

LEcon329_9:1	last	JJ(JJ)	last
LEcon329_9:2	saturday	NP(NP)	saturday
LEcon329_9:3	_0	PA(PA)	

LEcon329_10:1	they	PP(PP)	they
LEcon329_10:2	fa-	XX(XX)	
LEcon329_10:3	w-	XX(XX)	
LEcon329_10:4	they	PP(PP)	they
LEcon329_10:5	won	VVD(VVD)	win
LEcon329_10:6	it	PP(PP)	it
LEcon329_10:7	so	DM(DM)	so
LEcon329_10:8	look	VV(VV)	look
LEcon329_10:9	at	IN(IN)	at
LEcon329_10:10	like	DM(DM)	like
LEcon329_10:11	the	DT(DT)	the
LEcon329_10:12	banners	NNS(NNS)	banner

LEcon329_11:1	aha	RE(RE)	aha
LEcon329_11:2	okay	RE(RE)	okay
LEcon329_11:3	i	PP(DM)	i
LEcon329_11:4	see	VVP(DM)	see
LEcon329_11:5	_0	PA(PA)	
LEcon329_11:6	oh	UH(UH)	oh
LEcon329_11:7	there	EX(EX)	there
LEcon329_11:8	was	VBD(VBD)	be
LEcon329_11:9	a	DT(DT)	a
LEcon329_11:10	celebration	NN(NN)	celebration
LEcon329_11:11	_0	PA(PA)	
LEcon329_11:12	yesterday	RB(RB)	yesterday
LEcon329_11:13	in	IN(IN)	in
LEcon329_11:14	f_valetta	FW(FW)	
LEcon329_11:15	_0	PA(PA)	

LEcon329_12:1	a	DT(DT)	a
LEcon329_12:2	big	JJ(JJ)	big
