EDwgd5_1:1	environment	NN(NN)	environment
EDwgd5_1:2	er	UH(UH)	er
EDwgd5_1:3	environmental	JJ(JJ)	environmental
EDwgd5_1:4	issues	NNS(NNS)	issue

EDwgd5_2:1	f_soll	FW(FW)	
EDwgd5_2:2	f_ich	FW(FW)	
EDwgd5_2:3	f_es	FW(FW)	
EDwgd5_2:4	f_einfach	FW(FW)	
EDwgd5_2:5	f_hinstellen	FW(FW)	
EDwgd5_2:6	f_oder	FW(FW)	
EDwgd5_2:7	_2	PA(PA)	

EDwgd5_3:1	and	CC(CC)	and
EDwgd5_3:2	there	EX(EX)	there
EDwgd5_3:3	are	VBP(VBP)	be
EDwgd5_3:4	enlargement	NN(NN)	enlargement
EDwgd5_3:5	issues	NNS(NNS)	issue

EDwgd5_4:1	mhm	RE(RE)	mhm
EDwgd5_4:2	_0	PA(PA)	

EDwgd5_5:1	well	DM(DM)	well
EDwgd5_5:2	actually	RB(RB)	actually
EDwgd5_5:3	it	PP(PP)	it
EDwgd5_5:4	is	VBZ(VBZ)	be
EDwgd5_5:5	also	RB(RB)	also
EDwgd5_5:6	er	UH(UH)	er

EDwgd5_6:1	for	IN(IN)	for
EDwgd5_6:2	common	JJ(JJ)	common
EDwgd5_6:3	_0	PA(PA)	
EDwgd5_6:4	foreign	JJ(JJ)	foreign
EDwgd5_6:5	_0	PA(PA)	
EDwgd5_6:6	security	NN(NN)	security
EDwgd5_6:7	policy	NN(NN)	policy

EDwgd5_7:1	yah	RE(RE)	yah
EDwgd5_7:2	it	PP(PP)	it
EDwgd5_7:3	's	VBS(VBS)	be
EDwgd5_7:4	okay	JJ(JJ)	okay

EDwgd5_8:1	yeah	RE(RE)	yeah

EDwgd5_9:1	enlargement	NN(NN)	enlargement
EDwgd5_9:2	is	VBZ(VBZ)	be
EDwgd5_9:3	_0	PA(PA)	
EDwgd5_9:4	i	PP(PP)	i
EDwgd5_9:5	do	VVP(VVP)	do
EDwgd5_9:6	n't	RB(RB)	not
EDwgd5_9:7	know	VV(VV)	know
EDwgd5_9:8	who	WP(WP)	who

EDwgd5_10:1	just	RB(RB)	just
EDwgd5_10:2	ignore	VV(VV)	ignore
EDwgd5_10:3	it	PP(PP)	it
EDwgd5_10:4	okay	RE(RE)	okay
EDwgd5_10:5	@	LA(LA)	
EDwgd5_10:6	_0	PA(PA)	

EDwgd5_11:1	i	PP(PP)	i
EDwgd5_11:2	do	VVP(VVP)	do
EDwgd5_11:3	n't	RB(RB)	not
EDwgd5_11:4	know	VV(VV)	know
EDwgd5_11:5	who	WP(WP)	who
EDwgd5_11:6	_1	PA(PA)	
EDwgd5_11:7	who	WP(WP)	who
EDwgd5_11:8	was	VBD(VBD)	be
EDwgd5_11:9	obliged	JJ(JJ)	obliged
EDwgd5_11:10	to	TO(TO)	to
EDwgd5_11:11	do	VV(VV)	do
EDwgd5_11:12	that	DT(DT)	that

EDwgd5_12:1	i	PP(PP)	i
EDwgd5_12:2	'm	VBP(VBP)	be
EDwgd5_12:3	not	RB(RB)	not
EDwgd5_12:4	sure	JJ(JJ)	sure
EDwgd5_12:5	who	WP(WP)	who
EDwgd5_12:6	was	VBD(VBD)	be

EDwgd5_13:1	enlargement	NN(NN)	enlargement
EDwgd5_13:2	_1	PA(PA)	
EDwgd5_13:3	okay	RE(RE)	okay
EDwgd5_13:4	and	CC(CC)	and
EDwgd5_13:5	_0	PA(PA)	
EDwgd5_13:6	a-	XX(XX)	
EDwgd5_13:7	any-	XX(XX)	
EDwgd5_13:8	anyway	RB(RB)	anyway
EDwgd5_13:9	i	PP(PP)	i
EDwgd5_13:10	can	MD(MD)	can
EDwgd5_13:11	cover	VV(VV)	cover
EDwgd5_13:12	it	PP(PP)	it
EDwgd5_13:13	too	RB(RB)	too
EDwgd5_13:14	_0	PA(PA)	
EDwgd5_13:15	because	IN(IN)	because
EDwgd5_13:16	x	UNI(UNI)	
EDwgd5_13:17	_0	PA(PA)	
EDwgd5_13:18	it	PP(PP)	it
EDwgd5_13:19	's	VBS(VBS)	be
EDwgd5_13:20	my	PP$(PP$)	i
EDwgd5_13:21	major	JJ(JJ)	major

EDwgd5_14:1	@@	LA(LA)	

EDwgd5_15:1	so	DM(DM)	so
EDwgd5_15:2	no	DT(DT)	no
EDwgd5_15:3	problem	NN(NN)	problem
