PBmtg300_1:1	starting	VVG(VVG)	start
PBmtg300_1:2	_0	PA(PA)	
PBmtg300_1:3	talking	VVG(VVG)	talk
PBmtg300_1:4	business	NN(NN)	business
PBmtg300_1:5	already	RB(RB)	already
PBmtg300_1:6	now	RB(RB)	now
PBmtg300_1:7	or	CC(CC)	or
PBmtg300_1:8	not	RB(RB)	not
PBmtg300_1:9	_0	PA(PA)	

PBmtg300_2:1	no	RE(RE)	no
PBmtg300_2:2	no	RE(RE)	no
PBmtg300_2:3	do	VVP(VVP)	do
PBmtg300_2:4	just	RB(RB)	just
PBmtg300_2:5	just	RB(RB)	just
PBmtg300_2:6	relax	VV(VV)	relax
PBmtg300_2:7	and	CC(CC)	and
PBmtg300_2:8	_0	PA(PA)	
PBmtg300_2:9	proceed	VV(VV)	proceed
PBmtg300_2:10	and	CC(CC)	and
PBmtg300_2:11	i	PP(PP)	i
PBmtg300_2:12	'll	MD(MD)	will
PBmtg300_2:13	just	RB(RB)	just
PBmtg300_2:14	record	VV(VV)	record
PBmtg300_2:15	the	DT(DT)	the
PBmtg300_2:16	whole	JJ(JJ)	whole
PBmtg300_2:17	thing	NN(NN)	thing
PBmtg300_2:18	and	CC(CC)	and
PBmtg300_2:19	xx	UNI(UNI)	

PBmtg300_3:1	all	DT(DT)	all
PBmtg300_3:2	belongs	VVZ(VVZ)	belong
PBmtg300_3:3	together	RB(RB)	together

PBmtg300_4:1	all	DT(DT)	all
PBmtg300_4:2	goes	VVZ(VVZ)	go
PBmtg300_4:3	together	RB(RB)	together

PBmtg300_5:1	@@@	LA(LA)	

PBmtg300_6:1	@@@	LA(LA)	

PBmtg300_7:1	for	IN(IN)	for
PBmtg300_7:2	her	PP(PP)	she
PBmtg300_7:3	it	PP(PP)	it
PBmtg300_7:4	's	VBS(VBS)	be
PBmtg300_7:5	important	JJ(JJ)	important
PBmtg300_7:6	just	RB(RB)	just
PBmtg300_7:7	to	TO(TO)	to
PBmtg300_7:8	have	VH(VH)	have
PBmtg300_7:9	english	NP(NP)	english
PBmtg300_7:10	speaking	VVG(NN)	speak/speaking

PBmtg300_8:1	uhu	RE(RE)	uhu

PBmtg300_9:1	so	DM(DM)	so
PBmtg300_9:2	whatever	WP(WP)	whatever
PBmtg300_9:3	we	PP(PP)	we
PBmtg300_9:4	talk	VVP(VVP)	talk
PBmtg300_9:5	i	PP(DM)	i
PBmtg300_9:6	mean	VVP(DM)	mean
PBmtg300_9:7	we	PP(PP)	we
PBmtg300_9:8	have	VHP(VHP)	have
PBmtg300_9:9	a	DT(DT)	a
PBmtg300_9:10	lunch	NN(NN)	lunch
PBmtg300_9:11	in	IN(IN)	in
PBmtg300_9:12	between	IN(IN)	between
PBmtg300_9:13	er	UH(UH)	er
PBmtg300_9:14	er	UH(UH)	er
PBmtg300_9:15	_0	PA(PA)	
PBmtg300_9:16	yeah	RE(RE)	yeah

PBmtg300_10:1	okay	RE(RE)	okay
PBmtg300_10:2	okay	RE(RE)	okay

PBmtg300_11:1	if	IN(IN)	if
PBmtg300_11:2	we	PP(PP)	we
PBmtg300_11:3	talk	VVP(VVP)	talk
PBmtg300_11:4	about	IN(IN)	about
PBmtg300_11:5	er	UH(UH)	er
PBmtg300_11:6	the	DT(DT)	the
PBmtg300_11:7	next	JJ(JJ)	next
PBmtg300_11:8	soccer	NN(NN)	soccer
PBmtg300_11:9	game	NN(NN)	game
PBmtg300_11:10	or	CC(CC)	or
PBmtg300_11:11	er	UH(UH)	er
PBmtg300_11:12	_0	PA(PA)	

